Utterance,Speaker,Dialogue_ID,Emotion,Video_Path,Start_Time,End_Time,Duration
So I... You'll never see a tattoo here. I,0,10-60-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/10-60-1280x720_utterance_34.mp4,58.16,60.84,2.680000000000007
I wear it on the right hand.,0,10-60-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/10-60-1280x720_utterance_35.mp4,60.92,62.78,1.86
"That didn't occur to you, huh? It didn't even cross my mind. And then I'm like, of course, because when I'm flipping people off all the time on the show, it's a gloved hand. It's my right.",0,10-60-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/10-60-1280x720_utterance_36.mp4,65.54,74.62,9.079999999999998
"But so I have to go in early now and get, you know, a tattoo. You get the tattoo makeup on. Yeah, yeah, yeah.",0,10-60-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/10-60-1280x720_utterance_37.mp4,75.12,80.04,4.920000000000002
"You're not thinking clearly. No, it's this time of year.",0,10-60-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/10-60-1280x720_utterance_38.mp4,80.36,83.36,3.0
Waving hands like clouds.,0,1-30-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_39.mp4,2.2,3.54,1.34
Let's begin.,0,1-30-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_40.mp4,4.26,5.06,0.7999999999999998
Imagine you're,0,1-30-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_41.mp4,10.32,10.98,0.6600000000000001
you're floating like a bird flying in the sky.,0,1-30-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_42.mp4,11.62,15.1,3.4800000000000004
breathe out.,0,1-30-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_43.mp4,18.62,19.82,1.1999999999999993
breathe out. Now we're gonna open the door.,0,1-30-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_44.mp4,27.78,31.38,3.599999999999998
your leg.,0,1-30-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_45.mp4,32.5,33.38,0.8800000000000026
Now this time breathe in and hold the chi.,0,1-30-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_46.mp4,52.54,55.94,3.3999999999999986
This hand goes underneath to,0,1-30-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_47.mp4,58.98,60.6,1.6200000000000043
to embrace the moon.,0,1-30-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_48.mp4,61.04,61.9,0.8599999999999994
breathe out. Now,0,1-30-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_50.mp4,73.16,74.52,1.3599999999999994
Now we're gonna turn to the side.,0,1-30-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_51.mp4,74.92,77.24,2.319999999999993
And you want to turn to the side. Now change the hands. One goes up and one goes down. And,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_52.mp4,78.7,82.52,3.819999999999993
then they float across in front of the body just like clouds,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_53.mp4,83.18,86.18,3.0
floating in the wind.,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_54.mp4,87.12,88.3,1.1799999999999926
Now change the hands. One goes up. The other goes down. And,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_55.mp4,89.02,92.88,3.86
float across in front,0,1-30-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_56.mp4,93.76,95.02,1.259999999999991
front of the body.,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_57.mp4,95.38,96.52,1.1400000000000006
This time breathe in when you change the,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_58.mp4,97.12,99.64,2.519999999999996
breathe out as they,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_59.mp4,101.56,102.62,1.0600000000000025
float across the body like clouds in the wind.,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_60.mp4,103.04,105.6,2.559999999999988
this time breathe in and,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_61.mp4,113.3,114.92,1.6200000000000043
lean back.,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_62.mp4,115.32,116.26,0.940000000000012
your body. Now watch.,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_63.mp4,145.18,146.82,1.6399999999999864
All the fingers are gonna come together in a single whip.,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_64.mp4,149.68,152.46,2.780000000000001
and pushes out to the side.,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_65.mp4,156.72,158.28,1.5600000000000025
the fingers come together in a single whip. While the other hand continues,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_66.mp4,194.36,197.96,3.5999999999999943
pushes out to the side.,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_67.mp4,200.68,202.14,1.4599999999999795
Fingers together in a single whip. Stand on one foot.,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_68.mp4,250.56,253.98,3.4199999999999875
out.,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_69.mp4,255.32,256.18,0.8600000000000136
whoosh.,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_70.mp4,257.62,258.48,0.8600000000000136
going to scoop,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_71.mp4,260.32,260.74,0.4200000000000159
scoop up those leaves.,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_72.mp4,261.08,263.06,1.9800000000000184
whoosh.,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_73.mp4,265.6,266.0,0.3999999999999772
more time. Scoop,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_74.mp4,268.44,269.96,1.5199999999999818
Push down.,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_75.mp4,338.08,339.56,1.4800000000000182
And close the door.,0,1-30-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/1-30-1280x720_utterance_76.mp4,341.1,342.78,1.67999999999995
Alright babe. Yes.,0,101-30-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_77.mp4,1.02,1.64,0.6199999999999999
Yes.,0,101-30-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_78.mp4,1.84,2.12,0.28
What does Y -E -S spell? Yes. Okay.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_79.mp4,6.62,11.2,4.579999999999999
What does E -Y -E -S spell?,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_80.mp4,11.76,14.04,2.28
E -S.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_81.mp4,15.84,16.44,0.6000000000000014
Alright babe. Did you got it yet? No.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_82.mp4,18.58,20.76,2.180000000000004
No. What does Y -E -S spell?,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_83.mp4,20.94,23.36,2.419999999999998
Yes.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_84.mp4,24.06,24.98,0.9200000000000016
What does E -Y -E -S spell?,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_85.mp4,25.3,28.2,2.8999999999999986
E -S. E -S. No.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_86.mp4,30.8,34.42,3.620000000000001
Okay babe. Think about this. What,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_87.mp4,36.22,37.72,1.5
What does Y -E -S spell?,0,101-30-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_88.mp4,37.96,40.28,2.3200000000000003
It,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_89.mp4,42.9,43.44,0.5399999999999991
spells yes. Okay. What does E -Y -E -S spell?,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_90.mp4,44.16,48.92,4.760000000000005
I'm going to cry.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_92.mp4,64.84,66.12,1.2800000000000011
E -Y -E -S.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_93.mp4,66.96,68.22,1.2600000000000051
Is that a Spanish word?,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_94.mp4,68.7,70.74,2.039999999999992
You know,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_95.mp4,74.7,75.06,0.3599999999999994
know I don't know Spanish. What does Y -E -S spell? Y -E -S spells,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_96.mp4,75.46,80.1,4.640000000000001
spells yes. What does E -Y -E,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_97.mp4,80.42,84.5,4.079999999999998
-S spell?,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_98.mp4,84.98,86.34,1.3599999999999994
E -Y.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_99.mp4,88.32,89.5,1.1800000000000068
E -S.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_100.mp4,90.24,91.48,1.240000000000009
The last part of that is yes.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_101.mp4,94.8,97.76,2.960000000000008
E -S.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_102.mp4,98.16,99.7,1.5400000000000065
E -S.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_103.mp4,101.0,101.66,0.6599999999999966
E -S. Oh,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_104.mp4,105.7,107.26,1.5600000000000025
I'm going to die. I'm,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_105.mp4,109.04,110.52,1.4799999999999898
I'm going to pop a disk. You,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_106.mp4,110.92,112.16,1.2399999999999949
You need to tell me the trick to this,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_107.mp4,112.26,113.64,1.3799999999999957
trick to it. S. There,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_108.mp4,118.8,120.0,1.2000000000000028
There is a trick. Yeah.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_109.mp4,120.42,121.52,1.0999999999999943
You didn't know how to spell.,0,101-30-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_110.mp4,123.72,125.68,1.960000000000008
E -Y,0,101-30-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_111.mp4,129.22,129.8,0.5800000000000125
-Y -E,0,101-30-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_112.mp4,129.92,130.36,0.4400000000000261
-E -S spells,0,101-30-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_113.mp4,130.98,131.92,0.9399999999999976
spells E,0,101-30-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_114.mp4,133.0,133.6,0.5999999999999943
E -S.,0,101-30-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_115.mp4,135.54,136.58,1.0400000000000205
my gosh.,0,101-30-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_116.mp4,137.38,139.36,1.9800000000000184
Babe. What?,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_117.mp4,139.86,140.48,0.6199999999999761
-E -S. Give me a pencil. Give me a pencil. I,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_118.mp4,142.44,145.08,2.640000000000015
don't have one.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_119.mp4,145.76,146.52,0.7600000000000193
-E -S spells yes. Right.,0,101-30-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_120.mp4,148.58,149.98,1.3999999999999773
Right.,0,101-30-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_121.mp4,150.16,151.16,1.0
E -Y -E,0,101-30-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_122.mp4,151.82,152.78,0.960000000000008
-S spells.,0,101-30-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_123.mp4,153.1,154.38,1.2800000000000011
Why are you putting an E in,0,101-30-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_124.mp4,156.1,157.06,0.960000000000008
It's E -S.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_125.mp4,161.48,162.34,0.8600000000000136
Okay.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_126.mp4,162.46,163.86,1.4000000000000057
We've learned the solution people.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_127.mp4,164.76,167.36,2.6000000000000227
E -Y -E -S spells,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_128.mp4,167.86,169.12,1.259999999999991
spells E -S.,0,101-30-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/101-30-1080x1920_utterance_129.mp4,169.78,171.06,1.2800000000000011
Alright bye Hello,0,103-30-384x480.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/103-30-384x480_utterance_130.mp4,0.3,0.9,0.6000000000000001
Hello,0,103-30-384x480.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/103-30-384x480_utterance_131.mp4,1.32,1.88,0.5599999999999998
Tracker Tracker Bang Bang What up? A,0,103-30-384x480.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/103-30-384x480_utterance_132.mp4,2.46,4.98,2.5200000000000005
A lot of people asking on the last video you did The eye thing The,0,103-30-384x480.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/103-30-384x480_utterance_133.mp4,5.08,10.34,5.26
